2024-07-25 08:51:09 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-26 15:02:33 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 7
2024-07-26 15:02:42 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 1
2024-07-26 15:02:53 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 8
2024-07-26 15:03:02 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 5
2024-07-26 15:03:13 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 2
2024-07-26 15:03:22 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-26 15:03:33 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-26 15:03:43 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 9
2024-07-26 15:03:52 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 0
2024-07-26 15:04:03 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-26 15:04:13 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 3
2024-07-26 15:04:23 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 2
2024-07-26 15:04:33 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 7
2024-07-26 15:04:43 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 1
2024-07-26 15:04:53 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 2
2024-07-26 15:05:03 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 8
2024-07-26 15:05:13 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 0
2024-07-26 15:05:22 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 2
2024-07-26 15:05:33 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 5
2024-07-26 15:05:43 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 2
2024-07-26 15:05:52 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 4
2024-07-26 15:06:03 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 0
2024-07-26 15:06:13 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 3
2024-07-26 15:06:23 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 9
2024-07-26 15:06:32 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 3
2024-07-26 15:06:43 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 4
2024-07-26 15:06:53 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 5
2024-07-26 15:07:02 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 5
2024-07-26 15:07:12 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 0
2024-07-26 15:07:22 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 3
2024-07-26 15:07:32 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 7
2024-07-26 15:07:43 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 2
2024-07-26 15:07:52 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 9
2024-07-26 15:08:03 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-26 15:08:13 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 4
2024-07-26 15:08:23 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 9
2024-07-26 15:08:33 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 5
2024-07-26 15:08:43 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 7
2024-07-26 15:08:53 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 1
2024-07-26 15:09:03 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 9
2024-07-26 15:09:13 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 0
2024-07-26 15:09:23 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 3
2024-07-26 15:09:33 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-26 15:09:43 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 2
2024-07-26 15:09:53 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 0
2024-07-26 15:10:03 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-26 15:10:13 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 0
2024-07-26 15:10:23 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 4
2024-07-26 15:10:33 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 3
2024-07-26 15:10:43 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 0
2024-07-26 15:10:53 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 8
2024-07-26 15:11:03 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 4
2024-07-26 15:11:13 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 3
2024-07-26 15:11:23 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 0
2024-07-26 15:11:33 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 5
2024-07-26 15:11:43 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 9
2024-07-26 15:11:53 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 7
2024-07-26 15:12:03 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-26 15:12:14 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 9
2024-07-26 15:12:23 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 4
2024-07-26 15:12:33 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 8
2024-07-26 15:12:43 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 9
2024-07-26 15:12:53 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 8
2024-07-26 15:13:03 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 3
2024-07-26 15:13:13 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 7
2024-07-26 15:13:23 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 1
2024-07-26 15:13:33 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-26 15:13:43 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 6
2024-07-26 15:13:53 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 0
2024-07-26 15:14:03 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 7
2024-07-26 15:14:13 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 0
2024-07-26 15:14:23 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 0
2024-07-26 15:14:33 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 4
2024-07-26 15:14:43 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 4
2024-07-26 15:14:53 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 4
2024-07-26 15:15:03 - esp32_c3_01: Device: esp32_c3_01, ID: ESP32_8C45BD3BDAEC, Number: 1
